num,url,full_url,pubdate,title,description,download_url
239,https://www.thisamericanlife.org/episode/239,https://www.thisamericanlife.org/239/lost-in-america,"June 6, 2003",Lost in America,"Stories of people who are lost, histories that are lost, and things that are lost. This show was recorded onstage in front of audiences on a five-city tour in May 2003. The cities: Boston, Washington DC, Portland Oregon, Denver and Chicago. Featuring house band OK Go.
",https://stream.thisamericanlife.org/239/BlEK76e1W2OwCEiTLK3Gj1x8ajz89cBzkNGc2ArAuNA/239.mp3
240,https://www.thisamericanlife.org/episode/240,https://www.thisamericanlife.org/240/im-in-charge-now,"June 20, 2003",I’m In Charge Now,"Stories of people putting themselves in charge in very unlikely, unpromising circumstances.",https://stream.thisamericanlife.org/240/H41wAIupNN148OzW7T6g-MSVjN9N7ugbfMJzDotXiw0/240.mp3
241,https://www.thisamericanlife.org/episode/241,https://www.thisamericanlife.org/241/20-acts-in-60-minutes,"July 11, 2003",20 Acts in 60 Minutes,"Instead of the usual ""each week we choose a theme, and bring you 3 or 4 stories on that theme"" business, we throw all that away and bring you 20 stories—yes, 20—in 60 minutes.
",https://stream.thisamericanlife.org/241/tOnoPT_QPUENKfXpNHhB4nrZV9tnUwrDzthAqdk3u7E/241.mp3
242,https://www.thisamericanlife.org/episode/242,https://www.thisamericanlife.org/242/enemy-camp,"July 18, 2003",Enemy Camp,"Living behind enemy lines among the enemy, it's sometimes hard to remember why you're fighting in the first place.
",https://stream.thisamericanlife.org/242/Jgzm_2k_Xg_dkn1DVRueXdeZOLFD--bnWsNw3tCpJGA/242.mp3
243,https://www.thisamericanlife.org/episode/243,https://www.thisamericanlife.org/243/later-that-same-day,"July 25, 2003",Later That Same Day,"Stories about what the passage of time can do to someone. When each story starts, the world's aligned one way. Years pass—or sometimes just months—and everything's different.
",https://stream.thisamericanlife.org/243/edMtM3rch1BSvwiNfEFCgfFCk0FocB71ZABvtAJ1N2o/243.mp3
244,https://www.thisamericanlife.org/episode/244,https://www.thisamericanlife.org/244/macgyver,"August 15, 2003",MacGyver,"In real life, we usually never get to invent ingenious solutions, like the guy in the old TV series MacGyver. Today, four real stories in which real people invent amazingly clever solutions to their problems.
",https://stream.thisamericanlife.org/244/TIr9OcAwkl08l6KMaJ2pAFYkGseSWYSmvYvdMS7WzbQ/244.mp3
245,https://www.thisamericanlife.org/episode/245,https://www.thisamericanlife.org/245/allure-of-the-mean-friend,"September 5, 2003",Allure of the Mean Friend,"What is it about them, our mean friends? They treat us badly, they don't call us back, they cancel plans at the last minute, and yet we come back for more. Popular bullies exist in business, politics, everywhere. How do they stay so popular?
",https://stream.thisamericanlife.org/245/llb-6HCDKNY_9CUoMld3wNLEvINIEJu1Mpk0HuPtESA/245.mp3
246,https://www.thisamericanlife.org/episode/246,https://www.thisamericanlife.org/246/my-pen-pal,"September 12, 2003",My Pen Pal,"Stories of very unusual pen pals, including a ten-year-old girl from Michigan who befriends Panamanian dictator Manuel Noriega. A show from 2003 that we’re bringing back with news this week of Noriega’s death.
",https://stream.thisamericanlife.org/246/2iPuWUsd8wCNg74WqJt7EQ2P34BPLfC_s_j6EiX1GDE/246.mp3
247,https://www.thisamericanlife.org/episode/247,https://www.thisamericanlife.org/247/what-is-this-thing,"September 19, 2003",What Is This Thing?,"What is this thing? This thing called love, that is. For answers, we explore the romance novel industry, a $1.5 billion empire run almost entirely by and for women. Plus, relearning the rules of romance from the other side of the gender line. And Sarah Vowell tells the story of the Greatest Romance of the 20th Century.
",https://stream.thisamericanlife.org/247/wNll14FkDgp5gggDN9T1LadclEFGiDgGwl0GLCJ8Im0/247.mp3
248,https://www.thisamericanlife.org/episode/248,https://www.thisamericanlife.org/248/like-it-or-not,"October 24, 2003",Like It or Not,"Some stories we make happen, others happen to us. Extremes from the latter category, where people let things happen to them and don't act, even when maybe they should. David Rakoff guest hosts.
",https://stream.thisamericanlife.org/248/Fnjb1XnjFn1rQOCtEOhFt82O2rJHJDorxUOapUn861M/248.mp3
249,https://www.thisamericanlife.org/episode/249,https://www.thisamericanlife.org/249/garbage,"October 31, 2003",Garbage,"We make what's usually invisible, visible: the world of trash. We follow the trash from the sanitation men on the street, to the mob guys who controlled the hauling business, to the people who actually live in dumps.
",https://stream.thisamericanlife.org/249/h3WK8T6_H261ulZujF1Jeppy3LfoOSWXeAGf_pGPe2U/249.mp3
250,https://www.thisamericanlife.org/episode/250,https://www.thisamericanlife.org/250/the-annoying-gap-between-theoryand-practice,"November 7, 2003",The Annoying Gap Between Theory...and Practice,Why is it always harder than you think it'll be? We explore several case examples of the annoying gap between theory and practice.,https://stream.thisamericanlife.org/250/cznXGJe0L9I17XR3IcNvwQPQl_gNmBele5HRULy25QQ/250.mp3
251,https://www.thisamericanlife.org/episode/251,https://www.thisamericanlife.org/251/brothers-keeper,"November 21, 2003",Brother’s Keeper,"Biblical fables ripped from today's headlines. In his ongoing effort to write his own version of the Bible, Jonathan Goldstein retells the story of Cain and Abel. Finally we hear Cain's side of the story. Plus: neighbors in a small town in Illinois wonder if they could have stepped in—as their neighbors' keepers—to prevent a brutal triple murder. And the story of a man who lives his life among his political enemies, feeling responsible for the problems he believes they're creating for everyone.
",https://stream.thisamericanlife.org/251/q24c2BrATRxcZnb8IDWNBM-N32IYOplJfXigC5wikK8/251.mp3
252,https://www.thisamericanlife.org/episode/252,https://www.thisamericanlife.org/252/poultry-slam-2003,"November 28, 2003",Poultry Slam 2003,"During the weeks between Thanksgiving and New Year's - the highest turkey consumption period of the year - we bring you an annual This American Life tradition: stories of turkeys, chickens, geese, ducks, fowl of all kinds, real and imagined, and their mysterious hold over us. 
",https://stream.thisamericanlife.org/252/glNgmng0y2U5uw8ASNchhiTB3tSJ-yTOgs-agiOONlo/252.mp3
253,https://www.thisamericanlife.org/episode/253,https://www.thisamericanlife.org/253/the-middle-of-nowhere,"December 5, 2003",The Middle of Nowhere,"Stories from faraway, hard-to-get-to places, where all rules are off, nefarious things happen because no one's looking, and there's no one to appeal to.
",https://stream.thisamericanlife.org/253/A57V4mn6rG9daZyUqRaqyIoc9fhNcDuw2wDMty4MPu4/253.mp3
254,https://www.thisamericanlife.org/episode/254,https://www.thisamericanlife.org/254/teenage-embed-part-two,"December 12, 2003","Teenage Embed, Part Two","In early 2003, we brought you a special show about a California teenager, Hyder Akbar, who traveled to Afghanistan, his family's homeland, for the first time. His father had moved back to work for Afghan President Hamid Karzai. Hyder brought along a tape recorder, and his audio diary, produced by Susan Burton, won the Silver Award for Best Documentary at the 2003 Third Coast International Audio Festival.
",https://stream.thisamericanlife.org/254/mm2RiRep12xJ39YLI0X0lHwY_kZ6Icmdef-7YNchNr0/254.mp3
255,https://www.thisamericanlife.org/episode/255,https://www.thisamericanlife.org/255/our-holiday-gift-giving-guide,"December 19, 2003",Our Holiday Gift-Giving Guide,"The vexing difficulty of finding the perfect gift.
",https://stream.thisamericanlife.org/255/LIj-Qq6A4Ou6fSNWKvj7ZOhRHuFRkLyN3lAD7tiatlQ/255.mp3
256,https://www.thisamericanlife.org/episode/256,https://www.thisamericanlife.org/256/living-without-2004,"January 9, 2004",Living Without (2004),"Stories of people living without. Nubar Alexanian explains what fish can do for him that his own ears cannot. Sarah Vowell explains the cheerful journalism of deprivation. And other stories.
",https://stream.thisamericanlife.org/256/WiqY_qEHeacIOv6WRyQNOfMxN8Dja3sCrUM8YzpmyYg/256.mp3
257,https://www.thisamericanlife.org/episode/257,https://www.thisamericanlife.org/257/what-i-shouldve-said,"January 16, 2004",What I Should’ve Said,"People return to the scene of the crime where they should have spoken clearly, plainly, forcefully...to review what the hell went wrong, and in a few cases, to fix it. Jonathan Goldstein tries to stop time. Charles Monroe tries to figure out how to teach a lesson to the President of the United States.
",https://stream.thisamericanlife.org/257/fcpeZs4_Tn2noBjAE5RkJOqmHlAeCl8jlB4dn591kpE/257.mp3
258,https://www.thisamericanlife.org/episode/258,https://www.thisamericanlife.org/258/leaving-the-fold,"January 30, 2004",Leaving the Fold,"A popular, progressive politician becomes a talk show host. One you've probably heard of. A group of nuns leave the Catholic Church, only to find themselves essentially, remaining nuns. These and other stories of people leaving the situation they're used to—and striking off for something less familiar.
",https://stream.thisamericanlife.org/258/H9JVohhj-lUi8o5XAE7sT87cYkHwkxkDkv2vKsX2ENI/258.mp3
259,https://www.thisamericanlife.org/episode/259,https://www.thisamericanlife.org/259/promised-land,"February 20, 2004",Promised Land,"For millennia, people have tried to reach a spiritual promised land by fasting. Jesus did it. Buddha did it. Monks and saints and new age gurus have done it. And, for for this episode, the late David Rakoff tried it. He did a 20-day fast, to find out if it would bring him any form of enlightenment. Also, contributor Starlee Kine tells a story about getting as close to one promised land as you possibly can, without actually going in.
",https://stream.thisamericanlife.org/259/k0CWYfVgqS_fic1x5QGSyCxKE-trQI_AFTjfRiBB5go/259.mp3
260,https://www.thisamericanlife.org/episode/260,https://www.thisamericanlife.org/260/the-facts-dont-matter,"March 12, 2004",The Facts Don’t Matter,"There's what happened, and there's the story that gets told about what happened. Sometimes the two things don't match up very well. This week, two case examples—ripped, as they say, from today's headlines—of the story that's told becoming the truth, even though the facts don't back it up.",https://stream.thisamericanlife.org/260/TrRf6X94o5ZJHiDFEylaEmQRDqesxLFnXubqxsjXkdM/260.mp3
261,https://www.thisamericanlife.org/episode/261,https://www.thisamericanlife.org/261/the-sanctity-of-marriage,"March 26, 2004",The Sanctity of Marriage,"Stories trying to understand what actually happens in marriages during this time when the definition of marriage is up in the air. Music throughout the hour by a real wedding band, a good one: The Doug Lawrence Orchestra.
",https://stream.thisamericanlife.org/261/NG0zruWJAenEaoeHkCPXjsTf4qHqahaQ0S5ccv0hnQ4/261.mp3
262,https://www.thisamericanlife.org/episode/262,https://www.thisamericanlife.org/262/miracle-cures,"April 2, 2004",Miracle Cures,"People looking for miracle cures, some from above, others from abroad. A son tries to help his mom in a faraway place defy the laws of medical science. A daughter tries to help her dad by going to a faraway place to defy the laws of the United States of America.
",https://stream.thisamericanlife.org/262/4WoXdCe0rH3HiW4EOMF4StyolG8QuLLaXhcDe-95Pzg/262.mp3
263,https://www.thisamericanlife.org/episode/263,https://www.thisamericanlife.org/263/desperate-measures,"April 16, 2004",Desperate Measures,"Stories of people stuck in unfixable situations who try desperate measures. Sometimes these are inventive, sometimes they're ingenious, sometimes they even work.
",https://stream.thisamericanlife.org/263/l_rx9pzdtlRotefeuBPkbMsn884wMhFGK33sdTkCM34/263.mp3
264,https://www.thisamericanlife.org/episode/264,https://www.thisamericanlife.org/264/special-treatment,"May 7, 2004",Special Treatment,"We love it when we get it, but is it ever really fair? A defense of special treatment, by people who receive it and people who give it.",https://stream.thisamericanlife.org/264/0lhozFL2-qquYLpURcB6u6cTmCfB4P0JYJ0qIcc4egs/264.mp3
265,https://www.thisamericanlife.org/episode/265,https://www.thisamericanlife.org/265/fake-science,"May 21, 2004",Fake Science,"Stories of people trying to drag science where it doesn't belong.
",https://stream.thisamericanlife.org/265/p-v6iRhkzisoiO-qoxylGd576TtiMNGUVl--z4rHRKc/265.mp3
266,https://www.thisamericanlife.org/episode/266,https://www.thisamericanlife.org/266/im-from-the-private-sector-and-im-here-to-help,"June 4, 2004",I'm From the Private Sector and I'm Here to Help,"Today's show is devoted to just one story. Contributing editor Nancy Updike went to Iraq to try to figure out what it's like to be a private citizen working in the middle of a war zone. Private contractors are a part of this war in unprecedented numbers, but we don't know that much about the people doing these jobs — why they chose to come to Iraq, and what they're seeing that we can't.
",https://stream.thisamericanlife.org/266/01imTN5C3EZeJR9lwSs1SWGQns6Y9D5zzS6tOSJ5H4I/266.mp3
267,https://www.thisamericanlife.org/episode/267,https://www.thisamericanlife.org/267/propriety,"June 11, 2004",Propriety,"Perhaps there was a time when the rules of polite society were clear. No longer. This week, we bring you stories of people forced to try to figure out how to maintain their dignity—and decency—in some very unsettling situations.
",https://stream.thisamericanlife.org/267/kVw4n9ptHVFasJUbcuF-jABwPvb07e0-vWkE1URlpwc/267.mp3
268,https://www.thisamericanlife.org/episode/268,https://www.thisamericanlife.org/268/my-experimental-phase,"June 25, 2004",My Experimental Phase,"Three stories about people who decide to try out a new life—the kind of life their parents never wanted for them.
",https://stream.thisamericanlife.org/268/ugC8SntDo1FD4hSsi_xi30jaV64UyyubD_aSCjKPrfk/268.mp3
269,https://www.thisamericanlife.org/episode/269,https://www.thisamericanlife.org/269/someone-to-watch-over-me,"July 16, 2004",Someone to Watch Over Me,"Letting someone else take care of you can change everything. Three stories of couples in which one partner is trying to take care of the other, sometimes with more resistance, sometimes with less.",https://stream.thisamericanlife.org/269/_iDhRlTihrLnGLws-d-wUJGpb6ws4wPtlZ-f9NiuooA/269.mp3
270,https://www.thisamericanlife.org/episode/270,https://www.thisamericanlife.org/270/family-legend,"August 6, 2004",Family Legend,"How, one might wonder, could a simple hunk of cheese drive a wedge between an aging aunt and her devoted niece? Sure, every family has its share of grudges, secrets and bad behavior. What's harder to understand is how those things end up changing family relationships in ways no one could have predicted. Three stories about family legends that have either been kicking around for years or been completely suppressed.
",https://stream.thisamericanlife.org/270/YpZlw43S1hexyPu4_w8LcEGzlW1CnY2cBNt6DXuCb-U/270.mp3
271,https://www.thisamericanlife.org/episode/271,https://www.thisamericanlife.org/271/best-interests,"August 20, 2004",Best Interests,"Stories about adults struggling to figure out what is in the best interest of some child. And in situations where, what is best is not so clear.
",https://stream.thisamericanlife.org/271/03fLwizSOttO7XP1Fg7h71EFfLGAeDUcZEgbEjl3Pcc/271.mp3
272,https://www.thisamericanlife.org/episode/272,https://www.thisamericanlife.org/272/big-tent,"September 10, 2004",Big Tent,"Stories of the Republican Party, America's new majority party. Yes, they're still just barely the majority in the Senate...and in the last Presidential race...and in state legislatures around the country, where they hold just one percent more seats than Democrats nationwide.",https://stream.thisamericanlife.org/272/871Vc1MV5EsLmOZacVIYRPj2426jAC85f6CcSC_E16o/272.mp3
273,https://www.thisamericanlife.org/episode/273,https://www.thisamericanlife.org/273/put-your-heart-in-it,"September 24, 2004",Put Your Heart In It,"Stories about people deciding whether to give it their all. There's one story about a person who hasn't, one story about someone who has—in a situation where success seems very unlikely—and one story about people who just can't help themselves.",https://stream.thisamericanlife.org/273/DhD2tnZehr74bQ4ZKyGBDJmVmJgvN8fZl1mF9epT-xA/273.mp3
274,https://www.thisamericanlife.org/episode/274,https://www.thisamericanlife.org/274/enemy-camp-2004,"October 8, 2004",Enemy Camp (2004),"Behind enemy lines, sometimes people get confused about whose side they're on and how to fight the enemy.
",https://stream.thisamericanlife.org/274/wWw--qVVWK_ucJ0zsoOqo6drASOndQn9rIO4p1qkYI0/274.mp3
275,https://www.thisamericanlife.org/episode/275,https://www.thisamericanlife.org/275/two-steps-back,"October 15, 2004",Two Steps Back,"Ten years ago, when he was still a reporter for NPR's All Things Considered, host Ira Glass did a year-long series on a Chicago public school where things were getting better. Test scores were rising. Students were motivated. Last year, changes at the school dismantled some of the programs that had made for the school's success, and one of the best teachers in the school is thinking about quitting. We devote the whole hour to this story, about the rise and fall of school reform.",https://stream.thisamericanlife.org/275/RT5tVrW2xavYBvrGBpPMg6Btap6l-VvL-zE_I65YAF4/275.mp3
276,https://www.thisamericanlife.org/episode/276,https://www.thisamericanlife.org/276/swing-set,"October 29, 2004",Swing Set,"A journey through the minds of undecided voters. For months—through the Swift Boat ads, the convention speeches, the debates—we tracked a few of these voters to find out why they just can't make up their minds. Plus, a story of someone courting undecided voters, and another about people trying to sabotage undecided voters (and everyone else).",https://stream.thisamericanlife.org/276/W0tXaVqiHrQg17v2CA5jKAnRLQ0M2vR46-8Js9uolV8/276.mp3
277,https://www.thisamericanlife.org/episode/277,https://www.thisamericanlife.org/277/apology,"November 5, 2004",Apology,"It's rare that a successful apology happens. One where you apologize to someone, not for selfish reasons, but because you're really sorry and you want them to know that, and when the person you're apologizing to really hears what you're saying. Three stories of people groping toward that moment.
",https://stream.thisamericanlife.org/277/APxV5oUnka9RlUqlZmBZWe9A147qKrplWHE9_f7ge9M/277.mp3
278,https://www.thisamericanlife.org/episode/278,https://www.thisamericanlife.org/278/spies-like-us,"November 19, 2004",Spies Like Us,"Stories about amateur spies—regular people who spy on other regular people, and the consequences of their spying.",https://stream.thisamericanlife.org/278/t4EFw0sJA6JwJrVvj9gBzAdfmP1ySnlYE4oknjipDwo/278.mp3
279,https://www.thisamericanlife.org/episode/279,https://www.thisamericanlife.org/279/auto-show,"December 10, 2004",Auto Show,"Stories about people who love their cars, for better or for worse.",https://stream.thisamericanlife.org/279/560yiKFaxEnwuD56ckBBuPctnSXN4Hc3-492Ao9_8S0/279.mp3
280,https://www.thisamericanlife.org/episode/280,https://www.thisamericanlife.org/280/in-country,"January 7, 2005",In Country,"What life is like for American soldiers in Iraq.
",https://stream.thisamericanlife.org/280/4LD-C3XqIjeY3JMzwtjlBHpjiOdu8-Lu7KmmSi2nP6M/280.mp3
281,https://www.thisamericanlife.org/episode/281,https://www.thisamericanlife.org/281/my-big-break,"January 21, 2005",My Big Break,"Sometimes, getting your big break isn't all it's cracked up to be. A comedy duo lands the gig that can make them famous—the Ed Sullivan Show at the height of Sullivan's popularity—and they bomb. A third-grader gets his big chance to please his mother and push his drunken father out of the picture. And other stories.
",https://stream.thisamericanlife.org/281/Ka0KJpIX1UtA4vKxP-dzPG2Xb1Qa-VimOvPQDebv4QM/281.mp3
282,https://www.thisamericanlife.org/episode/282,https://www.thisamericanlife.org/282/diy,"February 11, 2005",DIY,"After four lawyers fail to get an innocent man out of prison, his friend takes on the case himself. He becomes a do-it-yourself investigator. He learns to read court records, he tracks down hard-to-find witnesses, he gets the real murderer to come forward with his story. In the end, he's able to accomplish all sorts of things the police and the professionals can't.
",https://stream.thisamericanlife.org/282/m6iMpSxL4cP_7oEYmRqm3nXJ3Y3MCqUna2iFiSDpy9E/282.mp3
283,https://www.thisamericanlife.org/episode/283,https://www.thisamericanlife.org/283/remember-me,"February 25, 2005",Remember Me,"Stories about people who are remembered very differently than they'd wished. The ghost of a kindly, distinguished philanthropist supposedly plays pranks on guests at a Ramada hotel in Fond du Lac, Wisconsin. A dying mother makes a tape for her developmentally disabled daughter, hoping she'll watch it someday, knowing she might not.",https://stream.thisamericanlife.org/283/qDj78-j__jKhyfsDRa9HtMfKA37Dk8ppdbwDTqUfCAM/283.mp3
284,https://www.thisamericanlife.org/episode/284,https://www.thisamericanlife.org/284/should-i-stay-or-should-i-go,"March 11, 2005",Should I Stay or Should I Go?,"Stories about people teetering on the edge of this question: Should they stay or go? A software writer loses his job, but refuses to go away. He continues to show up at work, sneaking in the door each day and putting in long hours on a project the company canceled. A student from Pakistan finishes four years of college in Philadelphia and has to decide whether to move back home. And other stories.",https://stream.thisamericanlife.org/284/irGI5tVNkXeskJXwOC0lotMxIKNoc81BpeTyhAmacy8/284.mp3
285,https://www.thisamericanlife.org/episode/285,https://www.thisamericanlife.org/285/know-your-enemy,"March 25, 2005",Know Your Enemy,"Stories about trying to understand who's on your side. The defense minister of Israel visits would-be suicide bombers in prison, only to find out that in at least one case, he feels sorry for the terrorist. A prosecutor tries to censor a punk rock star. He takes him to court, but never bothers to listen to his lyrics. During the trial, he begins to think twice about his mission. Plus other stories.
",https://stream.thisamericanlife.org/285/YD5bG523DxpzC-HZ_XwjyLZm_OIe4W72E2Yjzaq3x1g/285.mp3
286,https://www.thisamericanlife.org/episode/286,https://www.thisamericanlife.org/286/mind-games-2005,"April 8, 2005",Mind Games (2005),"Stories of people who try simple mind games on others, and then find themselves way in over their heads.
",https://stream.thisamericanlife.org/286/xJ82kLiPsfGHaZ75IAld4LcWGplx9EGSPuEOusabfEA/286.mp3
287,https://www.thisamericanlife.org/episode/287,https://www.thisamericanlife.org/287/backed-into-a-corner,"April 15, 2005",Backed Into A Corner,"Stories about people who end up making choices they'd rather not make, when their options begin to run out. Sometimes this works out great; sometimes not so great.
",https://stream.thisamericanlife.org/287/xB4pJlw_yBXB0d2rYAeq9Bx8tU5OL0nngnLNldf4XZA/287.mp3
288,https://www.thisamericanlife.org/episode/288,https://www.thisamericanlife.org/288/not-what-i-meant,"May 6, 2005",Not What I Meant,"Stories about how easy it is for communication to go awry, and what the consequences can be after it does.
",https://stream.thisamericanlife.org/288/itMtrpF8WBGNichzcVRct1b-HHE4LBT53uWsYWDvlEE/288.mp3
289,https://www.thisamericanlife.org/episode/289,https://www.thisamericanlife.org/289/go-ask-your-father,"May 13, 2005",Go Ask Your Father,"Sons and daughters get to find out the one thing they've always wanted to know about their father. The answers aren't always what they hope for.
",https://stream.thisamericanlife.org/289/hd4f7KUrUG2W7NRGzi_j2BuPD5arfg9ADiH694aF2u4/289.mp3
290,https://www.thisamericanlife.org/episode/290,https://www.thisamericanlife.org/290/godless-america,"June 3, 2005",Godless America,"At a time when House Majority Leader Tom Delay calls for enacting a ""Biblical world view"" in government, when Christians are asserting their ideals in the selection of judges, in public school science classes and elsewhere, This American Life spends an hour trying to remember why anyone liked the separation of church and state in the first place.",https://stream.thisamericanlife.org/290/9iBEip1syyNAdPrW3qc9aVEhfX3SU3lqcaIz1JOP948/290.mp3
291,https://www.thisamericanlife.org/episode/291,https://www.thisamericanlife.org/291/reunited-and-it-feels-so-good,"July 1, 2005",Reunited (And It Feels So Good),"Stories about getting back together with your parent, your spouse, your ... Brahman bull. And how it never goes the way you think it's going to.
",https://stream.thisamericanlife.org/291/lCiwauQL2lg1Kawut84MGWTrZcVquZANiAsm29NbWss/291.mp3
292,https://www.thisamericanlife.org/episode/292,https://www.thisamericanlife.org/292/the-arms-trader-2005,"July 8, 2005",The Arms Trader (2005),"The U.S. government spent two years on a sting operation trapping an Indian man named Hemant Lakhani, whom they suspected of being an illegal arms dealer. It's one of the few cases that has gone to trial in the War on Terror, and one the Justice Department has pointed to as one of their big successes. In the end, they got Lakhani, red-handed, delivering a missile to a terrorist in New Jersey. The only problem was, nothing in the sting was what it appeared to be. Including the missile.
",https://stream.thisamericanlife.org/292/77LWpERo-vp1xhCHRzVUOmbtmzr4IG5KTrWhm_LOfAg/292.mp3
293,https://www.thisamericanlife.org/episode/293,https://www.thisamericanlife.org/293/a-little-bit-of-knowledge,"July 22, 2005",A Little Bit of Knowledge,Stories about the pitfalls of knowing just a little bit too little.,https://stream.thisamericanlife.org/293/9qwgSgJuS0rdtkXRodut_EoUiF3baF2MztrQ9evWdXg/293.mp3
294,https://www.thisamericanlife.org/episode/294,https://www.thisamericanlife.org/294/image-makers,"August 5, 2005",Image Makers,"Stories of people and institutions who are worried about what the world thinks of them, and who take action...decisive action.",https://stream.thisamericanlife.org/294/AAmAn_Ad1BtE6D12GrBiiekAxFwTkRQhyzbhrbJ5pBg/294.mp3
295,https://www.thisamericanlife.org/episode/295,https://www.thisamericanlife.org/295/not-what-i-signed-up-for,"August 26, 2005",Not What I Signed Up For,"Stories about being sucked into something against your will. In one story, a 9/11 widow finds herself having to comfort another distraught woman on national TV. And in a story by Nick Hornby, a boy is forced to play soccer to save his nation.",https://stream.thisamericanlife.org/295/FLJIxzE2D7W5cr8HDutSTicDw_dDWDPihtfzOo-ys3g/295.mp3
296,https://www.thisamericanlife.org/episode/296,https://www.thisamericanlife.org/296/after-the-flood,"September 9, 2005",After the Flood,"Surprising stories from survivors in New Orleans. We give people who were in the storm more time than daily news coverage can to tell their stories and talk about what they're thinking. This leads to a number of ideas that haven't made it into the regular news coverage.
",https://stream.thisamericanlife.org/296/d1cmrineznvJM4W-O2zqjJ7_Qv2ZOfzhwgPL9dqxJrI/296.mp3
297,https://www.thisamericanlife.org/episode/297,https://www.thisamericanlife.org/297/this-is-not-my-beautiful-house,"September 16, 2005",This Is Not My Beautiful House,"It's the largest mass resettlement that America has seen since the Civil War, as over 400,000 people—victims of Hurricane Katrina—try to find a new place to live. From the Houston Astrodome to an abandoned New Orleans street, stories of people looking for home...and finding something else.
",https://stream.thisamericanlife.org/297/ThN_6XdLsJotKKJNs-78H-LKUKzxMoat7lEMJ8gim0c/297.mp3
298,https://www.thisamericanlife.org/episode/298,https://www.thisamericanlife.org/298/getting-and-spending,"September 23, 2005",Getting and Spending,"How far will we go to get money? And once we've got it, what should we spend it on? The first half of this show is on making money, and the second half on spending it.",https://stream.thisamericanlife.org/298/_-ZazR3T4P-KJAKabiAjA1q2PH_9oFZBQzRJDW-bxF4/298.mp3
299,https://www.thisamericanlife.org/episode/299,https://www.thisamericanlife.org/299/back-from-the-dead,"October 7, 2005",Back from the Dead,"Stories about people and places that have come back to life after everything seemed lost.
",https://stream.thisamericanlife.org/299/m7f9EPtP25E3ZHlGfVB4LmIMonEcIsy0mXvRFwGZqWw/299.mp3
300,https://www.thisamericanlife.org/episode/300,https://www.thisamericanlife.org/300/whats-in-a-number,"October 28, 2005",What’s In A Number?,"About a year ago, a study estimated the number of Iraqi casualties since the war began at 100,000 dead—higher than any other estimate. The study was mostly ignored. Alex Blumberg revisits that study to look at the reality behind it. In Act One he reports that not only is the study probably accurate, but it says that most of the deaths were caused by coalition forces (despite concerted efforts to avoid civilian casualties). In Act Two, we hear U.S. forces trying to cope in the aftermath of some of those deaths.",https://stream.thisamericanlife.org/300/LTr7SOsj7VKo3gs7ssCuDgyT9qsWBmtDDCQ9au_9-A8/300.mp3
301,https://www.thisamericanlife.org/episode/301,https://www.thisamericanlife.org/301/settling-the-score,"November 11, 2005",Settling the Score,"Stories about the lengths we go to make things right, and about what money can and cannot fix.
",https://stream.thisamericanlife.org/301/Vp0ZWDwxNtVXnubvBH16MxxrYAh58UC1j9rD8oHuPo4/301.mp3
302,https://www.thisamericanlife.org/episode/302,https://www.thisamericanlife.org/302/strangers-in-a-strange-land,"November 18, 2005",Strangers in a Strange Land,"Someone once said, ""If you're not willing to be changed by a place, there's no point in going."" This week, stories about what happens when you land in a whole new world.",https://stream.thisamericanlife.org/302/hBv8PBH_u1iQ1jJFLb9GHjmCP0QZtTj4yTXxoieoSlk/302.mp3
303,https://www.thisamericanlife.org/episode/303,https://www.thisamericanlife.org/303/david-and-goliath,"December 2, 2005",David and Goliath,"Variations on an old tale, with very modern consequences. Cambodia is competing with other nations for the business of big clothing companies all over the world...but they've vowed to follow fair labor practices. Other countries end up with the contracts, and the profits.",https://stream.thisamericanlife.org/303/Ja9pAOxjG2_YFgnu9XvmlgAZAC1BzFqsb1pBYeBwst0/303.mp3
304,https://www.thisamericanlife.org/episode/304,https://www.thisamericanlife.org/304/heretics,"December 16, 2005",Heretics,"The story of Reverend Carlton Pearson, a rising star in the evangelical movement, who cast aside the idea of hell, and with it everything he'd worked for over his entire life.
",https://stream.thisamericanlife.org/304/_JMvY54bYW--BmCJ1743GqPgst8j2i9ei0Q7xhmru-c/304.mp3
305,https://www.thisamericanlife.org/episode/305,https://www.thisamericanlife.org/305/the-this-american-life-holiday-spectacular,"December 23, 2005",The This American Life Holiday Spectacular,"A full-throttle, show-stopping, no-holds-barred Christmas Spectacular! Shedding the crusty old Christmas stories of yore, we bring you new holiday classics. With special musical guest Marah!",https://stream.thisamericanlife.org/305/nMdpaBktJ_T26Dedl_FbIYCRLkEgJuSAYZfqp7v92hQ/305.mp3
306,https://www.thisamericanlife.org/episode/306,https://www.thisamericanlife.org/306/seemed-like-a-good-idea-at-the-time,"January 13, 2006",Seemed Like A Good Idea at the Time,"A girl signs up for a class. A couple hires an accountant. A group of co-workers decides to pool their money and buy a couple of lottery tickets. In the beginning, they're full of hope and optimism...and then something turns. Stories of good ideas gone bad.
",https://stream.thisamericanlife.org/306/tEbX1mj5RBg3zJMr3fRfKX1YRUie3R227BVbJ7h8S4s/306.mp3
